Prerevenue/growth/turn around/enterprise,Last years EBIDA,Revenue year - 3,Revenue year - 2,Revenue year - 1,Sum invoices last 3 months,Sum hours last 3 months,Package last 3 months,Student hours,Price per h last 3 months,Payment regularity,Longterm,"Strategic:graph (0-no, 1-implementing, 3-working with)",Strategic: other technologies max(5),Strategic: field max(5),Team:max(5),Package size,Package price now,Data Driven company,Data Driven management custom,Data Driven management,Data Driven dogfight,Data Driven learedship,Data Talk,Custom Workshop,Custom Program,Data Driven company,Data Driven management custom,Data Driven management,Data Driven dogfight,Data Driven learedship,Data Talk,Custom Workshop,Custom Program,Data Driven company,Data Driven management custom,Data Driven management,Data Driven dogfight,Data Driven learedship,Data Talk,Custom Workshop,Custom Program,Company type,Client,Total programs cost,Total programs hours,Price per hour,CV,TV,SV,BV,Discount sum:,Price,StudentHour price with discount,StudentHour price now:,Pricediff realizd: ,SPecial KP discount,Finnal price,,
2,"−505.000,00","4.902.000,00","4.545.000,00","3.410.000,00","2.850,00","18,00","18,00","24,00","118,75",1,10,0,3,2,2,6,950,,,1,,,,,,0,0,1450,0,0,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,growth,beenius,1450,#VALUE!,#VALUE!,"0,06","0,04","0,02","0,2484905092","0,12",1276,#VALUE!,"118,75",#VALUE!,0,1276,#VALUE!,
1,,,,,"1.900,00","14,00","12,00","18,67","101,79",−1,8,0,0,5,3,6,950,,,1,,,,,,0,0,1200,0,0,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,0,0,startup,elabio,1200,#VALUE!,#VALUE!,"0,034","0,06","0,02","0,5","0,114","1063,2",#VALUE!,"118,75",#VALUE!,0,"1063,2",#VALUE!,
2,"1.647,00","2.400.000,00","3.100.000,00","3.500.000,00","4.000,00","44,00","40,00","58,67","68,18",0,7,0,4,3,3,8,800,1,,,,,,,,1000,0,0,0,0,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,growth,goopti,1000,#VALUE!,#VALUE!,"0,031","0,06","0,028","0,2484397707","0,119",881,#VALUE!,75,#VALUE!,0,881,#VALUE!,
3,"−4.620.000,00","50.000.000,00","46.000.000,00",,"2.900,00","15,92","12,00","21,22","136,65",−1,0,1,3,3,5,6,1450,,,1,,,,,,0,0,1750,0,0,0,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,turnaround management,proplus,1750,#VALUE!,#VALUE!,"0,02","0,1","0,044","0,1286205614","0,164",1463,#VALUE!,"181,25",#VALUE!,0,1463,#VALUE!,
2,"55.000,00","520.000,00","830.000,00","1.080.000,00","1.250,00","3,00","6,00","8,00","156,25",0,0,1,1,1,4,6,1250,,,1,,,,,,0,0,1450,0,0,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,growth,red orbit,1450,#VALUE!,#VALUE!,"0,03","0,08","0,028","0,2491579716","0,138","1249,9",#VALUE!,"156,25",#VALUE!,0,"1249,9",#VALUE!,
2,"130.000,00","5.950.000,00","7.500.000,00","7.850.000,00","2.610,00","10,50","12,00","16,00","163,13",−1,4,0,0,3,2,6,1305,,,1,,,,,,0,0,1450,0,0,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,growth,sensilab,1450,#VALUE!,#VALUE!,"0,032","0,04","0,012","0,2456648291","0,084","1328,2",#VALUE!,"163,125",#VALUE!,0,"1328,2",#VALUE!,
3,"−5.780.000,00","11.090.000,00","9.500.000,00","8.200.000,00","4.350,00","37,50","18,00","50,00","87,00",1,0,0,0,3,2,6,1450,,,,,1,,,,0,0,0,0,1550,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,growth,tsmedia,1550,#VALUE!,#VALUE!,"0,02","0,04","0,012","0,1463701395","0,072","1438,4",#VALUE!,"181,25",#VALUE!,0,"1438,4",#VALUE!,
3,"0,00","6.877.000,00","6.120.000,00","4.474.000,00","5.700,00","34,00","36,00","48,00","118,75",1,4,0,0,2,3,12,1900,,,1,,1,,,,0,0,1750,0,1900,0,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,turnaround management,smart com,3650,#VALUE!,#VALUE!,"0,042","0,06","0,008","0,1480195127","0,11","3248,5",#VALUE!,"118,75",#VALUE!,0,"3248,5",#VALUE!,
2,"135.500,00","622.000,00","647.000,00","713.000,00","0,00","0,00","0,00","0,00","0,00",0,0,0,0,1,0,6,1200,,,1,,,,,,0,0,1450,0,0,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,growth,enki,1450,#VALUE!,#VALUE!,0,0,"0,004","0,2487877408","0,004","1444,2",#VALUE!,150,#VALUE!,0,"1444,2",#VALUE!,
2,"−534.000,00","139.000,00","183.000,00","827.000,00","0,00","0,00","0,00","0,00","0,00",1,0,0,1,3,5,3,1450,,,1,,,,,,0,0,1450,0,0,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,growth,visionect,850,#VALUE!,#VALUE!,"0,01","0,1","0,016","0,2496339153","0,126","742,9",#VALUE!,"362,5",#VALUE!,0,"742,9",#VALUE!,"4,127222222"
0,"3.778.000,00","53.100.000,00","53.790.000,00","56.476.000,00","0,00","0,00","0,00","0,00","0,00",0,0,0,0,1,0,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,enterprise,medis,0,0,#DIV/0!,0,0,"0,004","−0,05","0,004",0,#DIV/0!,,,0,0,#DIV/0!,
2,,,,,"0,00","0,00","0,00","0,00","0,00",0,4,0,3,2,2,6,,,1,,,,,,,0,850,0,0,0,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,growth,receipt bank,850,#VALUE!,#VALUE!,"0,012","0,04","0,02","0,25","0,072","788,8",#VALUE!,,,0,"788,8",#VALUE!,
3,"505.000,00","26.200.000,00","26.500.000,00",,,,,,,−1,,0,0,2,3,6,,,,1,,1,,,,0,0,1750,0,1900,0,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,turnaround management,src,3650,#VALUE!,#VALUE!,"−0,01","0,06","0,008","0,1343418691","0,058","3438,3",#VALUE!,,,0,"3438,3",#VALUE!,
,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,school/accelerator/organiser,ABC accelerator,0,0,#DIV/0!,,,,0,0,0,#DIV/0!,,,0,0,#DIV/0!,
,,,,,,,,,,−1,4,0,4,3,4,,,1,,,,,,,,750,0,0,0,0,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,0,0,startup,bluejay,750,#VALUE!,#VALUE!,"0,002","0,08","0,028",0,"0,11","667,5",#VALUE!,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!,,,,,,0,#DIV/0!,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!,,,,,,0,#DIV/0!,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!,,,,,,0,#DIV/0!,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!,,,,,,0,#DIV/0!,,,,,,
